"Site Crawled","https://summitutilities.com/"
"Start Date","2026-02-27"
"Start Time","20:26:21"
"Last Modified Date","2026-02-27"
"Last Modified Time","20:27:03"
"Elapsed","00:00:42"
"Report Date","2026-02-27"
"Report Time","20:27:47"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Non-Indexable with Search Analytics Data","0","0.00%","116","Internal URLs with associated Google Search Console data"
"Orphan URLs","0","0.00%","116","Internal URLs with associated Google Search Console data"
"URL is Not on Google","0","0.00%","116","Internal URLs with associated Google Search Console data"
"Indexable URL Not Indexed","0","0.00%","116","Internal URLs with associated Google Search Console data"
"URL is on Google But Has Issues","0","0.00%","116","Internal URLs with associated Google Search Console data"
"User-Declared Canonical Not Selected","0","0.00%","116","Internal URLs with associated Google Search Console data"
"Page is Not Mobile Friendly","0","0.00%","116","Internal URLs with associated Google Search Console data"
"AMP URL Invalid","0","0.00%","116","Internal URLs with associated Google Search Console data"
"Rich Result Invalid","0","0.00%","116","Internal URLs with associated Google Search Console data"
""
"Validation"
"All","443","100.00%","443","Internal URLs with 2xx response"
"Invalid HTML Elements in <head>","0","0.00%","443","Internal URLs with 2xx response"
"<body> Element Preceding <html>","0","0.00%","443","Internal URLs with 2xx response"
"<head> Not First In <html> Element","0","0.00%","443","Internal URLs with 2xx response"
"Missing <head> Tag","0","0.00%","443","Internal URLs with 2xx response"
"Multiple <head> Tags","0","0.00%","443","Internal URLs with 2xx response"
"Missing <body> Tag","0","0.00%","443","Internal URLs with 2xx response"
"Multiple <body> Tags","0","0.00%","443","Internal URLs with 2xx response"
"HTML Document Over 15MB","0","0.00%","443","Internal URLs with 2xx response"
"Resource Over 15MB","0","0.00%","443","Internal URLs with 2xx response"
"High Carbon Rating","0","0.00%","443","Internal URLs with 2xx response"
""
"Link Metrics"
"All","116","100.00%","116","Internal HTML/PDF pages"
""
"AI"
"All","434","100.00%","434","Internal HTML URLs with 2xx response"
""
""
"Depth (Clicks from Start URL)"
"0","1","1.03%","97","Internal HTML pages with 2xx response"
"1","40","41.24%","97","Internal HTML pages with 2xx response"
"2","55","56.70%","97","Internal HTML pages with 2xx response"
"3","1","1.03%","97","Internal HTML pages with 2xx response"
"4","0","0.00%","97","Internal HTML pages with 2xx response"
"5","0","0.00%","97","Internal HTML pages with 2xx response"
"6","0","0.00%","97","Internal HTML pages with 2xx response"
"7","0","0.00%","97","Internal HTML pages with 2xx response"
"8","0","0.00%","97","Internal HTML pages with 2xx response"
"9","0","0.00%","97","Internal HTML pages with 2xx response"
"10+","0","0.00%","97","Internal HTML pages with 2xx response"
""
"Inlinks (Top 20 URLs)"
"https://summitutilities.com/my-account/account-self-service","96","98.97%","97","Internal HTML pages with 2xx response"
"https://summitutilities.com/residential/residential-rebates-efficiency-programs","96","98.97%","97","Internal HTML pages with 2xx response"
"https://summitutilities.com/contact/faqs","96","98.97%","97","Internal HTML pages with 2xx response"
"https://summitutilities.com/my-account/billing-payment-options","96","98.97%","97","Internal HTML pages with 2xx response"
"https://summitutilities.com/contact/customer-service","96","98.97%","97","Internal HTML pages with 2xx response"
"https://summitutilities.com/home","96","98.97%","97","Internal HTML pages with 2xx response"
"https://summitutilities.com/residential/natural-gas-appliances","96","98.97%","97","Internal HTML pages with 2xx response"
"https://summitutilities.com/about-summit/comfortdelivered","96","98.97%","97","Internal HTML pages with 2xx response"
"https://summitutilities.com/my-account/assistance-programs","96","98.97%","97","Internal HTML pages with 2xx response"
"https://summitutilities.com/safety/carbon-monoxide","96","98.97%","97","Internal HTML pages with 2xx response"
"https://summitutilities.com/safety/public-utility-scams","96","98.97%","97","Internal HTML pages with 2xx response"
"https://summitutilities.com/contact/start-stop-transfer-service","96","98.97%","97","Internal HTML pages with 2xx response"
"https://summitutilities.com/safety/natural-gas-safety","96","98.97%","97","Internal HTML pages with 2xx response"
"https://summitutilities.com/safety/right-of-way","96","98.97%","97","Internal HTML pages with 2xx response"
"https://summitutilities.com/my-account/how-to-read-my-meter","96","98.97%","97","Internal HTML pages with 2xx response"
"https://summitutilities.com/commercial/commercial-benefits-of-natural-gas","96","98.97%","97","Internal HTML pages with 2xx response"
"https://summitutilities.com/about-summit/news","96","98.97%","97","Internal HTML pages with 2xx response"
"https://summitutilities.com/safety/excess-flow-valves","96","98.97%","97","Internal HTML pages with 2xx response"
"https://summitutilities.com/my-account/how-to-read-my-bill","96","98.97%","97","Internal HTML pages with 2xx response"
"https://summitutilities.com/sitemap","96","98.97%","97","Internal HTML pages with 2xx response"
""
"Response Time (Seconds)","URLs","% of Total"
"1","443","100.00%"
